,ann_return,ann_vol,vol_error,Sharpe,max_dd
naive,-0.06728884842517358,0.14414019213345589,0.04414019213345588,-0.4668291850400232,-0.48099714830627893
rolling5,-0.03396936462365863,0.12583062301066192,0.025830623010661913,-0.26996103023967644,-0.3550720374525146
rolling50,-0.031848626841101346,0.11126685268050555,0.011266852680505549,-0.2862364313705565,-0.36524697425991304
ewma080,-0.10425411423732933,0.2077534488207243,0.1077534488207243,-0.5018165273746807,-0.6508459019008694
ewma030,-0.04126716490899274,0.12052311026114693,0.02052311026114692,-0.34240043108393003,-0.36374538455264804
har,-0.021069206254292983,0.10689507773899297,0.0068950777389929635,-0.19710174406475406,-0.32767283962624294
garch11,-0.02191558660767634,0.09745015364177355,0.002549846358226457,-0.22489022119183072,-0.2996847788943259
ols,-0.024664371093864212,0.10543460354007102,0.005434603540071012,-0.23393051489485972,-0.3205651372178848
elastic_net_1,0.002708993938375759,0.1004040928198904,0.00040409281989040036,0.026980911457815566,-0.2676763262215056
elastic_net_1e-3,0.002708993938375759,0.1004040928198904,0.00040409281989040036,0.026980911457815566,-0.2676763262215056
gb_tree,-0.01422100416765082,0.10198296283818971,0.001982962838189703,-0.13944490110779031,-0.3092081377661777
